nivel,bloque,keyword1,keyword2,keyword3,keyword4,keyword5
1,Core de Negocio,ejemplo1,ejemplo2,ejemplo3,,
1,Branded Keywords,Esgarden,Esgarden online,Esgarden España,,
1,Fabricantes de Terceros,marca1,marca2,marca3,,
1,Head Terms,categoría1,categoría2,categoría3,,
2,Local,ciudad1,ciudad2,región1,,
2,Audience Profile,perfil1,perfil2,perfil3,,
3,Educational How-to,guía1,guía2,guía3,,
3,Problem/Symptom,problema1,problema2,problema3,,
3,Seasonal,temporada1,temporada2,temporada3,,
4,Comparative,comparación1,comparación2,comparación3,,
4,Lists & Roundups,lista1,lista2,lista3,,
4,Reviews & Opinions,review1,review2,review3,,
5,Longtail Informational,longtail1,longtail2,longtail3,,
5,Longtail Transactional,transaccional1,transaccional2,transaccional3,,
6,Banned Words,palabra_evitar1,palabra_evitar2,palabra_evitar3,,
6,Banned Tones,tono_evitar1,tono_evitar2,tono_evitar3,,
6,Competing Keywords,competidor1,competidor2,competidor3,,
